Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
962/2026 - 1DEAM;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;RESIDENCIAL FLORES;MS;Campo Grande;5002704;2026;06/02/2026;22:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;18.0
151/2026 - DP-CAARAPO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA PLANALTO;MS;Caarapo;5002407;2026;06/02/2026;21:44:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;61.0
151/2026 - DP-CAARAPO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA PLANALTO;MS;Caarapo;5002407;2026;06/02/2026;21:44:00;AUTOR;MASCULINO;BRASILEIRO(A);NAO ALFABETIZADO;PARDA;57.0
151/2026 - DP-CAARAPO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA PLANALTO;MS;Caarapo;5002407;2026;06/02/2026;21:44:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;N/I;23.0
991/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Petropolis;MS;Campo Grande;5002704;2026;06/02/2026;21:40:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;44.0
991/2026 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;Jardim Petropolis;MS;Campo Grande;5002704;2026;06/02/2026;21:40:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;44.0
991/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Petropolis;MS;Campo Grande;5002704;2026;06/02/2026;21:40:00;AUTOR;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;N/I;42.0
991/2026 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;Jardim Petropolis;MS;Campo Grande;5002704;2026;06/02/2026;21:40:00;AUTOR;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;N/I;42.0
947/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Chacara Cachoeira;MS;Campo Grande;5002704;2026;06/02/2026;21:16:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;18.0
947/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Chacara Cachoeira;MS;Campo Grande;5002704;2026;06/02/2026;21:16:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;18.0
947/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Chacara Cachoeira;MS;Campo Grande;5002704;2026;06/02/2026;21:16:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;PARDA;20.0
947/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Chacara Cachoeira;MS;Campo Grande;5002704;2026;06/02/2026;21:16:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;PARDA;20.0
1162/2026 - DEPAC-DDOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;N/I;20.0
1162/2026 - DEPAC-DDOS;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;N/I;20.0
1162/2026 - DEPAC-DDOS;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;BRANCA;13.0
1162/2026 - DEPAC-DDOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);ALFABETIZADO;BRANCA;17.0
1162/2026 - DEPAC-DDOS;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;BRANCA;13.0
1162/2026 - DEPAC-DDOS;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;N/I;20.0
1162/2026 - DEPAC-DDOS;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);ALFABETIZADO;BRANCA;17.0
1162/2026 - DEPAC-DDOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Jardim Climax;MS;Dourados;5003702;2026;06/02/2026;21:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;BRANCA;13.0
