Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
1094/2025 - DP-APARECIDA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM REDENTORA;MS;APARECIDA DO TABOADO;5001003;2025;04/11/2025;22:55:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;20.0
1094/2025 - DP-APARECIDA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM REDENTORA;MS;APARECIDA DO TABOADO;5001003;2025;04/11/2025;22:55:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;43.0
1258/2025 - 1DP-JARDIM;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;SANTA LUZIA;MS;JARDIM;5005004;2025;04/11/2025;20:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;65.0
1258/2025 - 1DP-JARDIM;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;SANTA LUZIA;MS;JARDIM;5005004;2025;04/11/2025;20:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;28.0
7534/2025 - 1DEAM;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM COLUMBIA;MS;CAMPO GRANDE;5002704;2025;28/10/2025;20:21:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;48.0
7534/2025 - 1DEAM;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM COLUMBIA;MS;CAMPO GRANDE;5002704;2025;28/10/2025;20:21:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;32.0
715/2025 - DAM-TRÊS LAGOAS;FEMINICIDIO, EM DESCUMPRIMENTO DAS MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NOS INCISOS I, II E III DO CAPUT DO ART. 22 DA LEI Nº 11.340, DE 7 DE AGOSTO DE 2006 (LEI MARIA DA PENHA);FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;TRÊS LAGOAS;5008305;2025;21/10/2025;14:24:00;AUTOR;FEMININO;BRASILEIRO(A);ALFABETIZADO;PARDA;43.0
715/2025 - DAM-TRÊS LAGOAS;FEMINICIDIO, EM DESCUMPRIMENTO DAS MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NOS INCISOS I, II E III DO CAPUT DO ART. 22 DA LEI Nº 11.340, DE 7 DE AGOSTO DE 2006 (LEI MARIA DA PENHA);FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;TRÊS LAGOAS;5008305;2025;21/10/2025;14:24:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;46.0
493/2025 - DP-BANDEIRANTES;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;SILVINO DE BARROS;MS;BANDEIRANTES;5001508;2025;12/10/2025;15:30:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;38.0
493/2025 - DP-BANDEIRANTES;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;SILVINO DE BARROS;MS;BANDEIRANTES;5001508;2025;12/10/2025;15:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;40.0
2360/2025 - 1DP-PARANAIBA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;PARANAÍBA;5006309;2025;09/10/2025;22:30:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;N/I;30.0
2360/2025 - 1DP-PARANAIBA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;PARANAÍBA;5006309;2025;09/10/2025;22:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;48.0
6840/2025 - 1DEAM;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;MONTE CASTELO;MS;CAMPO GRANDE;5002704;2025;02/10/2025;19:58:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;49.0
6840/2025 - 1DEAM;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;MONTE CASTELO;MS;CAMPO GRANDE;5002704;2025;02/10/2025;19:58:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;40.0
631/2025 - DP-BELA VISTA;HOMICIDIO SIMPLES;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;ESPIRITO SANTO;MS;BELA VISTA;5002100;2025;13/09/2025;14:30:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;41.0
631/2025 - DP-BELA VISTA;HOMICIDIO SIMPLES;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;ESPIRITO SANTO;MS;BELA VISTA;5002100;2025;13/09/2025;14:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;24.0
631/2025 - DP-BELA VISTA;HOMICIDIO SIMPLES;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;ESPIRITO SANTO;MS;BELA VISTA;5002100;2025;13/09/2025;14:30:00;VÍTIMA;MASCULINO;BRASILEIRO(A);ALFABETIZADO;BRANCA;65.0
631/2025 - DP-BELA VISTA;FEMINICIDIO, NAS CIRCUNSTANCIAS PREVISTAS NOS INCISOS III, IV E VIII DO § 2º DO ART. 121 DESTE CODIGO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;ESPIRITO SANTO;MS;BELA VISTA;5002100;2025;13/09/2025;14:30:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;41.0
631/2025 - DP-BELA VISTA;FEMINICIDIO, NAS CIRCUNSTANCIAS PREVISTAS NOS INCISOS III, IV E VIII DO § 2º DO ART. 121 DESTE CODIGO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;ESPIRITO SANTO;MS;BELA VISTA;5002100;2025;13/09/2025;14:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;24.0
225/2025 - DP-DOIS IRMAOS;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;DOIS IRMÃOS DO BURITI;5003488;2025;08/09/2025;02:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;35.0
225/2025 - DP-DOIS IRMAOS;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;DOIS IRMÃOS DO BURITI;5003488;2025;08/09/2025;02:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;75.0
1192/2025 - 1DP-BATAGUASSU;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM REAL;MS;BATAGUASSU;5001904;2025;22/08/2025;20:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;59.0
1192/2025 - 1DP-BATAGUASSU;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM REAL;MS;BATAGUASSU;5001904;2025;22/08/2025;20:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;N/I;46.0
552/2025 - DP-BELA VISTA;ESTUPRO;ESTUPRO, FATOS TIPICOS;;MS;BELA VISTA;5002100;2025;08/08/2025;19:00:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;29.0
552/2025 - DP-BELA VISTA;ESTUPRO;ESTUPRO, FATOS TIPICOS;;MS;BELA VISTA;5002100;2025;08/08/2025;19:00:00;VÍTIMA;FEMININO;ESTRANGEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;24.0
552/2025 - DP-BELA VISTA;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;BELA VISTA;5002100;2025;08/08/2025;19:00:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;29.0
552/2025 - DP-BELA VISTA;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;BELA VISTA;5002100;2025;08/08/2025;19:00:00;VÍTIMA;FEMININO;ESTRANGEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;24.0
