Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
107/2026 - DP-NOVA ALVORADA;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;CENTRO;MS;NOVA ALVORADA DO SUL;5006002;2026;26/01/2026;15:00:00;AUTOR;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;PARDA;47.0
107/2026 - DP-NOVA ALVORADA;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;CENTRO;MS;NOVA ALVORADA DO SUL;5006002;2026;26/01/2026;15:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;39.0
107/2026 - DP-NOVA ALVORADA;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;CENTRO;MS;NOVA ALVORADA DO SUL;5006002;2026;26/01/2026;15:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;76.0
41/2026 - DAM-CORUMBA;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CRISTO REDENTOR;MS;CORUMBÁ;5003207;2026;26/01/2026;15:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;35.0
41/2026 - DAM-CORUMBA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CRISTO REDENTOR;MS;CORUMBÁ;5003207;2026;26/01/2026;15:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;35.0
41/2026 - DAM-CORUMBA;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CRISTO REDENTOR;MS;CORUMBÁ;5003207;2026;26/01/2026;15:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;39.0
41/2026 - DAM-CORUMBA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CRISTO REDENTOR;MS;CORUMBÁ;5003207;2026;26/01/2026;15:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;39.0
44/2026 - DAM-CORUMBA;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;VILA GUARANI;MS;CORUMBÁ;5003207;2026;26/01/2026;14:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;28.0
44/2026 - DAM-CORUMBA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA GUARANI;MS;CORUMBÁ;5003207;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;PARDA;40.0
44/2026 - DAM-CORUMBA;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;VILA GUARANI;MS;CORUMBÁ;5003207;2026;26/01/2026;14:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;PARDA;40.0
